title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,cluster
ESCAPE PLAN,Travis Scott,0.8390000000000001,0.506,5.0,-6.7139999999999995,0.0,0.133,0.00207,0.0,0.13,0.44,154.12,spotify:track:4R67rQNSbbsR4TdUVOIdez,149610.0,4.0,54
Kiss Me More (feat. SZA),Doja Cat,0.762,0.701,8.0,-3.5410000000000004,1.0,0.0286,0.235,0.00015800000000000002,0.12300000000000001,0.742,110.96799999999999,spotify:track:748mdHapucXQri7IAO8yFK,208867.0,4.0,0
Kiss Me More (feat. SZA),SZA,0.762,0.701,8.0,-3.5410000000000004,1.0,0.0286,0.235,0.00015800000000000002,0.12300000000000001,0.742,110.96799999999999,spotify:track:748mdHapucXQri7IAO8yFK,208867.0,4.0,0
OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,0.787,0.833,8.0,-4.4030000000000005,1.0,0.0478,0.018000000000000002,0.00747,0.0374,0.7959999999999999,123.97,spotify:track:6Dy1jexKYriXAVG6evyUTJ,162604.0,4.0,16
OUT OUT (feat. Charli XCX & Saweetie),Jax Jones,0.787,0.833,8.0,-4.4030000000000005,1.0,0.0478,0.018000000000000002,0.00747,0.0374,0.7959999999999999,123.97,spotify:track:6Dy1jexKYriXAVG6evyUTJ,162604.0,4.0,16
OUT OUT (feat. Charli XCX & Saweetie),Charli XCX,0.787,0.833,8.0,-4.4030000000000005,1.0,0.0478,0.018000000000000002,0.00747,0.0374,0.7959999999999999,123.97,spotify:track:6Dy1jexKYriXAVG6evyUTJ,162604.0,4.0,16
OUT OUT (feat. Charli XCX & Saweetie),Saweetie,0.787,0.833,8.0,-4.4030000000000005,1.0,0.0478,0.018000000000000002,0.00747,0.0374,0.7959999999999999,123.97,spotify:track:6Dy1jexKYriXAVG6evyUTJ,162604.0,4.0,16
traitor,Olivia Rodrigo,0.38,0.33899999999999997,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.60700000000001,spotify:track:5CZ40GBx1sQ9agT82CLQCT,229227.0,4.0,45
Acapulco,Jason Derulo,0.774,0.792,10.0,-4.021,1.0,0.0523,0.051,0.0,0.155,0.507,122.06200000000001,spotify:track:3eJH2nAjvNXdmPfBkALiPZ,139672.0,4.0,62
Praise God,Kanye West,0.7979999999999999,0.545,1.0,-6.466,1.0,0.168,0.009040000000000001,9.48e-05,0.258,0.212,118.029,spotify:track:0WSEq9Ko4kFPt8yo3ICd6T,226653.0,4.0,61
2055,Sleepy Hallow,0.8290000000000001,0.512,6.0,-5.865,0.0,0.187,0.49200000000000005,0.0,0.12,0.638,80.51100000000001,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,123987.0,4.0,4
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,0.8,0.8370000000000001,6.0,-2.807,0.0,0.0491,0.00406,0.00313,0.0904,0.7020000000000001,100.015,spotify:track:6IPNp9PfaEqrzotY47TIWy,225600.0,4.0,16
